From,To,Type,Label
Andre,Beverly,collaboration,4
Andre,Carol,collaboration,4
Andre,Diane,collaboration,4
Andre,Fernando,collaboration,4
Beverly,Andre,collaboration,4
Beverly,Diane,collaboration,4
Beverly,Ed,collaboration,4
Beverly,Garth,collaboration,4
Carol,Andre,collaboration,4
Carol,Diane,collaboration,4
Carol,Fernando,collaboration,4
Diane,Andre,collaboration,4
Diane,Beverly,collaboration,4
Diane,Carol,collaboration,4
Diane,Ed,collaboration,4
Diane,Fernando,collaboration,4
Diane,Garth,collaboration,4
Ed,Beverly,collaboration,4
Ed,Diane,collaboration,4
Ed,Garth,collaboration,4
Fernando,Andre,collaboration,4
Fernando,Carol,collaboration,4
Fernando,Diane,collaboration,4
Fernando,Garth,collaboration,4
Fernando,Heather,collaboration,4
Garth,Beverly,collaboration,4
Garth,Diane,collaboration,4
Garth,Ed,collaboration,4
Garth,Fernando,collaboration,4
Garth,Heather,collaboration,4
Heather,Fernando,collaboration,4
Heather,Garth,collaboration,4
Heather,Ike,collaboration,4
Ike,Heather,collaboration,4
Ike,Jane,collaboration,4
Jane,Ike,collaboration,4
